gid,role_before,role_after,reason,rank_before,rank_after,fast_before,fast_after,coverage
100000002622822100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,428,891,0.0,,0.0
100000005042822100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,440,913,0.0,,1.0
100000003054328100,transit,peripheral,Строгое окно FIFO 1–2 дня и учёт полного покрытия окна,314,929,1.0,0.0,1.0
100000005264990100,transit,peripheral,Неполный вход seed: отменено назначение роли по недостаточным наблюдениям,698,933,0.0,0.0,1.0
100000003199390100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,529,944,0.0,,1.0
100000007330432100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,521,956,0.0,,1.0
100000001669260100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,534,967,0.0,,1.0
100000008221765100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,573,971,0.0,,1.0
100000000375150100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,551,972,0.0,,1.0
100000005711521100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,566,983,0.0,,1.0
100000000926078100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,567,984,0.0,,1.0
100000002645993100,transit,peripheral,Строгое окно FIFO 1–2 дня и учёт полного покрытия окна,391,985,1.0,0.1782477341389728,1.0
100000003180305100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,615,996,0.0,,1.0
100000005493505100,terminal,peripheral,Неполный вход seed: отменено назначение роли по недостаточным наблюдениям,607,997,0.0,0.0,1.0
100000000561160100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,604,1002,0.0,,0.0
100000004269433100,transit,peripheral,Неполный вход seed: отменено назначение роли по недостаточным наблюдениям,598,1006,0.0,,
100000004235471100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,630,1014,0.0,,1.0
100000002922000100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,602,1020,0.0,,1.0
100000001065234100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,613,1021,0.0,,1.0
100000008740295100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,579,1022,0.0,,1.0
100000002242455100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,668,1030,0.0,,1.0
100000003204491100,transit,peripheral,Строгое окно FIFO 1–2 дня и учёт полного покрытия окна,443,1032,0.714286,0.0,1.0
100000007071852100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,651,1033,0.0,,1.0
100000003631015100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,656,1042,0.0,,1.0
100000005783452100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,603,1047,0.0,,1.0
100000005756189100,transit,peripheral,Строгое окно FIFO 1–2 дня и учёт полного покрытия окна,445,1049,0.754615,0.0,1.0
100000008619159100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,653,1058,0.0,,1.0
100000003072205100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,639,1060,0.0,,1.0
100000004976946100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,677,1065,0.0,,1.0
100000001311175100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,671,1072,0.0,,1.0
100000001957974100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,658,1078,0.0,,1.0
100000008724461100,transit,peripheral,Строгое окно FIFO 1–2 дня и учёт полного покрытия окна,417,1081,1.0,0.0,1.0
100000001808684100,transit,peripheral,Строгое окно FIFO 1–2 дня и учёт полного покрытия окна,494,1084,0.619835,0.0,1.0
100000005745873100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,700,1094,0.0,,1.0
100000007745062100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,739,1099,0.0,,1.0
100000002194320100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,701,1100,0.0,,1.0
100000007034089100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,681,1103,0.0,,1.0
100000007982728100,transit,peripheral,Неполный вход seed: отменено назначение роли по недостаточным наблюдениям,788,1117,0.0,,
100000005888829100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,713,1133,0.0,,1.0
100000005409680100,terminal,peripheral,Неполный вход seed: отменено назначение роли по недостаточным наблюдениям,786,1134,0.0,0.0,1.0
100000003128638100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,696,1135,0.0,,1.0
100000002214383100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,747,1137,0.0,,1.0
100000005272139100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,760,1141,0.0,,1.0
100000006689603100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,711,1142,0.0,,1.0
100000008136608100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,775,1160,0.0,,1.0
100000008333492100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,770,1164,0.0,,0.0
100000007357489100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,735,1166,0.0,,1.0
100000008560263100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,801,1180,0.0,,1.0
100000004388983100,transit,peripheral,Неполный вход seed: отменено назначение роли по недостаточным наблюдениям,876,1187,0.0,,
100000003574895100,transit,peripheral,Строгое окно FIFO 1–2 дня и учёт полного покрытия окна,587,1197,0.715103,0.0,1.0
100000000803368100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,819,1222,0.0,,1.0
100000008183752100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,830,1242,0.0,,1.0
100000008172721100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,825,1247,0.0,,1.0
100000001246806100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,843,1254,0.0,,1.0
100000002596039100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,792,1260,0.0,,1.0
100000008730238100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,850,1267,0.0,,1.0
100000003448713100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,803,1275,0.0,,1.0
100000002659103100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,854,1295,0.0,,1.0
100000001822650100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,848,1298,0.0,,0.0
100000008699083100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,818,1302,0.0,,0.0
100000002529877100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,823,1312,0.0,,1.0
100000001299828100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,878,1318,0.0,,1.0
100000004840086100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,882,1326,0.0,,1.0
100000008336318100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,847,1328,0.0,,1.0
100000003230329100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,869,1342,0.0,,1.0
100000001299323100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,871,1347,0.0,,1.0
100000003074515100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,879,1371,0.0,,1.0
100000004418967100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,917,1386,0.0,,1.0
100000003180820100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,892,1397,0.0,,1.0
100000004800648100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,914,1412,0.0,,1.0
100000002659265100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,888,1420,0.0,,1.0
100000003782913100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,905,1421,0.0,,1.0
100000002794374100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,928,1422,0.0,,0.0
100000008337304100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,941,1460,0.0,,1.0
100000005454368100,terminal,peripheral,Неполный вход seed: отменено назначение роли по недостаточным наблюдениям,961,1461,0.0,0.0,1.0
100000004403641100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,904,1466,0.0,,0.0
100000004891562100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,935,1486,0.0,,1.0
100000001533161100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,981,1526,0.0,,1.0
100000001537524100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,943,1529,0.0,,0.0
100000002734815100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,959,1554,0.0,,1.0
100000003819173100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,969,1621,0.0,,1.0
100000004813068100,transit,peripheral,Неполный вход seed: отменено назначение роли по недостаточным наблюдениям,1042,1624,0.0,,
100000005485830100,transit,peripheral,Неполный вход seed: отменено назначение роли по недостаточным наблюдениям,1091,1650,0.0,,
100000003252446100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,999,1675,0.0,,1.0
100000003134550100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,1017,1725,0.0,,1.0
100000007018630100,transit,peripheral,Неполный вход seed: отменено назначение роли по недостаточным наблюдениям,1087,1758,0.0,,
100000008522127100,transit,peripheral,Неполный вход seed: отменено назначение роли по недостаточным наблюдениям,1142,1874,0.0,,
100000005417257100,transit,peripheral,Неполный вход seed: отменено назначение роли по недостаточным наблюдениям,1248,2017,0.0,,
100000006491963100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,1156,2122,0.0,,0.6875
