gid,request,reason,weight_kzt,priority_score
100000002578405100,входящие извне выборки,"отдал 3.1 млн ₸, получил в выборке 1.2 млн ₸: разница 1.9 млн ₸; проверить начальный остаток и невидимый вход",1908001.0,0.8031
100000008748914100,входящие извне выборки,"отдал 4.5 млн ₸, получил в выборке 180 тыс ₸: разница 4.3 млн ₸; проверить начальный остаток и невидимый вход",4291847.0,0.7992
100000008489922100,входящие извне выборки,"отдал 3.8 млн ₸, получил в выборке 262 тыс ₸: разница 3.5 млн ₸; проверить начальный остаток и невидимый вход",3527890.0,0.7838
100000001857829100,входящие извне выборки,"отдал 2.4 млн ₸, получил в выборке 889 тыс ₸: разница 1.5 млн ₸; проверить начальный остаток и невидимый вход",1502458.0,0.7687
100000005242320100,входящие извне выборки,"отдал 8.9 млн ₸, получил в выборке 366 тыс ₸: разница 8.6 млн ₸; проверить начальный остаток и невидимый вход",8570595.0,0.7646
100000007594394100,входящие извне выборки,"отдал 3.4 млн ₸, получил в выборке 395 тыс ₸: разница 3 млн ₸; проверить начальный остаток и невидимый вход",2980927.0,0.7646
100000008637537100,входящие seed (источник выручки),seed переправил 2.4 млн ₸; входящие seed в выгрузке неполны,2351495.0,0.7602
100000005704413100,входящие извне выборки,"отдал 1.4 млн ₸, получил в выборке 98 тыс ₸: разница 1.3 млн ₸; проверить начальный остаток и невидимый вход",1265758.33,0.76
100000005933757100,входящие извне выборки,"отдал 3 млн ₸, получил в выборке 1.2 млн ₸: разница 1.8 млн ₸; проверить начальный остаток и невидимый вход",1756628.0,0.7581
100000005910114100,входящие извне выборки,"отдал 1.5 млн ₸, получил в выборке 326 тыс ₸: разница 1.1 млн ₸; проверить начальный остаток и невидимый вход",1143849.0,0.7545
100000002957787100,входящие извне выборки,"отдал 1.3 млн ₸, получил в выборке 85 тыс ₸: разница 1.2 млн ₸; проверить начальный остаток и невидимый вход",1191197.96,0.747
100000008304139100,входящие извне выборки,"отдал 1.7 млн ₸, получил в выборке 189 тыс ₸: разница 1.5 млн ₸; проверить начальный остаток и невидимый вход",1503667.25,0.7405
100000005782781100,входящие извне выборки,"отдал 1.3 млн ₸, получил в выборке 172 тыс ₸: разница 1.1 млн ₸; проверить начальный остаток и невидимый вход",1091709.0,0.7324
100000003242289100,входящие извне выборки,"отдал 2.4 млн ₸, получил в выборке 551 тыс ₸: разница 1.8 млн ₸; проверить начальный остаток и невидимый вход",1826950.0,0.732
100000004351795100,входящие извне выборки,"отдал 1.7 млн ₸, получил в выборке 118 тыс ₸: разница 1.6 млн ₸; проверить начальный остаток и невидимый вход",1596828.0,0.7178
100000003880331100,входящие извне выборки,"отдал 3.9 млн ₸, получил в выборке 100 тыс ₸: разница 3.8 млн ₸; проверить начальный остаток и невидимый вход",3804908.0,0.7114
100000001697501100,входящие извне выборки,"отдал 1.5 млн ₸, получил в выборке 124 тыс ₸: разница 1.4 млн ₸; проверить начальный остаток и невидимый вход",1358906.0,0.7094
100000008748408100,входящие извне выборки,"отдал 1.5 млн ₸, получил в выборке 360 тыс ₸: разница 1.1 млн ₸; проверить начальный остаток и невидимый вход",1139960.0,0.7092
100000004070318100,входящие извне выборки,"отдал 552 тыс ₸, получил в выборке 207 тыс ₸: разница 345 тыс ₸; проверить начальный остаток и невидимый вход",344613.45,0.7026
100000002718366100,снятие наличных / межбанк / покупки,"получил 2.5 млн ₸ от 6, внутрибанковских исходящих нет",2525000.0,0.6985
100000008710791100,входящие извне выборки,"отдал 5.5 млн ₸, получил в выборке 182 тыс ₸: разница 5.3 млн ₸; проверить начальный остаток и невидимый вход",5340001.0,0.6897
100000002894076100,снятие наличных / межбанк / покупки,"получил 1.1 млн ₸ от 4, внутрибанковских исходящих нет",1122782.0,0.6854
100000000343175100,входящие seed (источник выручки),seed переправил 4 млн ₸; входящие seed в выгрузке неполны,4000039.0,0.6829
100000008730846100,входящие извне выборки,"отдал 363 тыс ₸, получил в выборке 155 тыс ₸: разница 208 тыс ₸; проверить начальный остаток и невидимый вход",208328.0,0.6802
100000002527114100,входящие seed (источник выручки),seed переправил 3.3 млн ₸; входящие seed в выгрузке неполны,3289249.0,0.6782
100000001732159100,входящие seed (источник выручки),seed переправил 1.5 млн ₸; входящие seed в выгрузке неполны,1505966.0,0.6764
100000003404627100,снятие наличных / межбанк / покупки,"получил 878 тыс ₸ от 4, внутрибанковских исходящих нет",877700.0,0.6641
100000008547844100,входящие извне выборки,"отдал 2 млн ₸, получил в выборке 178 тыс ₸: разница 1.9 млн ₸; проверить начальный остаток и невидимый вход",1864599.0,0.6609
100000008465789100,входящие извне выборки,"отдал 1.9 млн ₸, получил в выборке 30 тыс ₸: разница 1.8 млн ₸; проверить начальный остаток и невидимый вход",1828001.0,0.6598
100000008517538100,входящие извне выборки,"отдал 1.4 млн ₸, получил в выборке 156 тыс ₸: разница 1.3 млн ₸; проверить начальный остаток и невидимый вход",1283500.0,0.6484
100000004160650100,входящие извне выборки,"отдал 1.5 млн ₸, получил в выборке 75 тыс ₸: разница 1.4 млн ₸; проверить начальный остаток и невидимый вход",1414727.0,0.6448
100000003796063100,входящие извне выборки,"отдал 959 тыс ₸, получил в выборке 35 тыс ₸: разница 924 тыс ₸; проверить начальный остаток и невидимый вход",924150.0,0.6412
100000000332284100,входящие извне выборки,"отдал 290 тыс ₸, получил в выборке 107 тыс ₸: разница 182 тыс ₸; проверить начальный остаток и невидимый вход",182074.0,0.6362
100000008743913100,входящие извне выборки,"отдал 1.9 млн ₸, получил в выборке 149 тыс ₸: разница 1.7 млн ₸; проверить начальный остаток и невидимый вход",1701300.0,0.6226
100000001162560100,входящие извне выборки,"отдал 2.9 млн ₸, получил в выборке 331 тыс ₸: разница 2.6 млн ₸; проверить начальный остаток и невидимый вход",2573098.0,0.6211
100000001282143100,снятие наличных / межбанк / покупки,"получил 1.7 млн ₸ от 5, внутрибанковских исходящих нет",1700000.0,0.6178
100000005578559100,входящие извне выборки,"отдал 893 тыс ₸, получил в выборке 131 тыс ₸: разница 762 тыс ₸; проверить начальный остаток и невидимый вход",762163.67,0.6171
100000001072022100,снятие наличных / межбанк / покупки,"получил 1.7 млн ₸ от 3, внутрибанковских исходящих нет",1684000.0,0.6086
100000002547110100,снятие наличных / межбанк / покупки,"получил 1.5 млн ₸ от 6, внутрибанковских исходящих нет",1500000.0,0.6079
100000002605308100,снятие наличных / межбанк / покупки,"получил 2.6 млн ₸ от 3, внутрибанковских исходящих нет",2569521.84,0.6058
100000008512827100,входящие извне выборки,"отдал 1.9 млн ₸, получил в выборке 108 тыс ₸: разница 1.8 млн ₸; проверить начальный остаток и невидимый вход",1836551.0,0.6019
100000007442518100,входящие извне выборки,"отдал 4.4 млн ₸, получил в выборке 510 тыс ₸: разница 3.9 млн ₸; проверить начальный остаток и невидимый вход",3909999.0,0.5926
100000008466579100,входящие извне выборки,"отдал 1.9 млн ₸, получил в выборке 37 тыс ₸: разница 1.9 млн ₸; проверить начальный остаток и невидимый вход",1896048.0,0.5924
100000004150593100,входящие извне выборки,"отдал 871 тыс ₸, получил в выборке 57 тыс ₸: разница 814 тыс ₸; проверить начальный остаток и невидимый вход",814165.0,0.5888
100000001303311100,снятие наличных / межбанк / покупки,"получил 1.3 млн ₸ от 5, внутрибанковских исходящих нет",1324000.0,0.5878
100000003854444100,входящие извне выборки,"отдал 2.3 млн ₸, получил в выборке 210 тыс ₸: разница 2.1 млн ₸; проверить начальный остаток и невидимый вход",2112909.0,0.5868
100000008413748100,входящие извне выборки,"отдал 1.4 млн ₸, получил в выборке 26 тыс ₸: разница 1.4 млн ₸; проверить начальный остаток и невидимый вход",1350840.22,0.5845
100000004041163100,входящие seed (источник выручки),seed переправил 866 тыс ₸; входящие seed в выгрузке неполны,866000.0,0.5823
100000002849158100,входящие извне выборки,"отдал 1.3 млн ₸, получил в выборке 723 тыс ₸: разница 590 тыс ₸; проверить начальный остаток и невидимый вход",590000.0,0.5798
100000002173161100,снятие наличных / межбанк / покупки,"получил 1.4 млн ₸ от 3, внутрибанковских исходящих нет",1427500.0,0.5744
100000001616816100,входящие seed (источник выручки),seed переправил 181 тыс ₸; входящие seed в выгрузке неполны,181326.0,0.567
100000002175422100,входящие извне выборки,"отдал 1.6 млн ₸, получил в выборке 68 тыс ₸: разница 1.6 млн ₸; проверить начальный остаток и невидимый вход",1552688.0,0.561
100000005778283100,снятие наличных / межбанк / покупки,"получил 616 тыс ₸ от 3, внутрибанковских исходящих нет",615760.0,0.5589
100000008659445100,входящие seed (источник выручки),seed переправил 875 тыс ₸; входящие seed в выгрузке неполны,875150.0,0.558
100000004962193100,снятие наличных / межбанк / покупки,"получил 900 тыс ₸ от 8, внутрибанковских исходящих нет",900468.0,0.5579
100000001937767100,входящие извне выборки,"отдал 1.9 млн ₸, получил в выборке 53 тыс ₸: разница 1.9 млн ₸; проверить начальный остаток и невидимый вход",1880000.0,0.5575
100000006707582100,входящие извне выборки,"отдал 961 тыс ₸, получил в выборке 40 тыс ₸: разница 922 тыс ₸; проверить начальный остаток и невидимый вход",921618.0,0.5542
100000002723538100,входящие извне выборки,"отдал 560 тыс ₸, получил в выборке 106 тыс ₸: разница 455 тыс ₸; проверить начальный остаток и невидимый вход",454852.0,0.5528
100000007593823100,входящие извне выборки,"отдал 163 тыс ₸, получил в выборке 25 тыс ₸: разница 138 тыс ₸; проверить начальный остаток и невидимый вход",137900.0,0.5486
100000008571433100,входящие seed (источник выручки),seed переправил 1.4 млн ₸; входящие seed в выгрузке неполны,1434000.0,0.5472
100000008144528100,снятие наличных / межбанк / покупки,"получил 1.1 млн ₸ от 5, внутрибанковских исходящих нет",1068202.6,0.5469
100000000274067100,входящие извне выборки,"отдал 3 млн ₸, получил в выборке 518 тыс ₸: разница 2.5 млн ₸; проверить начальный остаток и невидимый вход",2451296.0,0.5451
100000008742053100,входящие извне выборки,"отдал 2.8 млн ₸, получил в выборке 10 тыс ₸: разница 2.8 млн ₸; проверить начальный остаток и невидимый вход",2779000.0,0.5407
100000006977207100,входящие извне выборки,"отдал 4.2 млн ₸, получил в выборке 414 тыс ₸: разница 3.7 млн ₸; проверить начальный остаток и невидимый вход",3743018.0,0.5365
100000002603769100,снятие наличных / межбанк / покупки,"получил 1.2 млн ₸ от 3, внутрибанковских исходящих нет",1185368.0,0.5357
100000003528285100,входящие извне выборки,"отдал 548 тыс ₸, получил в выборке 119 тыс ₸: разница 429 тыс ₸; проверить начальный остаток и невидимый вход",429130.0,0.5315
100000001463701100,снятие наличных / межбанк / покупки,"получил 621 тыс ₸ от 2, внутрибанковских исходящих нет",621000.0,0.5282
100000008710843100,входящие извне выборки,"отдал 2 млн ₸, получил в выборке 34 тыс ₸: разница 2 млн ₸; проверить начальный остаток и невидимый вход",1951556.0,0.5232
100000001411870100,снятие наличных / межбанк / покупки,"получил 900 тыс ₸ от 2, внутрибанковских исходящих нет",900000.0,0.5212
100000000580561100,входящие seed (источник выручки),seed переправил 1.5 млн ₸; входящие seed в выгрузке неполны,1488077.0,0.5208
100000001527186100,снятие наличных / межбанк / покупки,"получил 678 тыс ₸ от 1, внутрибанковских исходящих нет",678000.0,0.5193
100000002939838100,снятие наличных / межбанк / покупки,"получил 571 тыс ₸ от 3, внутрибанковских исходящих нет",571233.0,0.5161
100000003923946100,входящие извне выборки,"отдал 675 тыс ₸, получил в выборке 282 тыс ₸: разница 393 тыс ₸; проверить начальный остаток и невидимый вход",393000.0,0.5148
100000004847758100,входящие извне выборки,"отдал 489 тыс ₸, получил в выборке 115 тыс ₸: разница 374 тыс ₸; проверить начальный остаток и невидимый вход",373629.0,0.5148
100000002963189100,входящие извне выборки,"отдал 5.2 млн ₸, получил в выборке 490 тыс ₸: разница 4.7 млн ₸; проверить начальный остаток и невидимый вход",4729000.0,0.514
100000002480800100,снятие наличных / межбанк / покупки,"получил 569 тыс ₸ от 2, внутрибанковских исходящих нет",569251.0,0.5135
100000005287097100,входящие извне выборки,"отдал 697 тыс ₸, получил в выборке 127 тыс ₸: разница 570 тыс ₸; проверить начальный остаток и невидимый вход",570127.0,0.5081
100000006579678100,входящие извне выборки,"отдал 1.7 млн ₸, получил в выборке 193 тыс ₸: разница 1.5 млн ₸; проверить начальный остаток и невидимый вход",1475870.0,0.5053
100000001965374100,входящие извне выборки,"отдал 3.1 млн ₸, получил в выборке 1.8 млн ₸: разница 1.3 млн ₸; проверить начальный остаток и невидимый вход",1322380.0,0.5033
100000008418835100,входящие seed (источник выручки),seed переправил 186 тыс ₸; входящие seed в выгрузке неполны,186179.0,0.5018
100000007229557100,снятие наличных / межбанк / покупки,"получил 878 тыс ₸ от 3, внутрибанковских исходящих нет",878000.0,0.5012
100000008601794100,входящие seed (источник выручки),seed переправил 871 тыс ₸; входящие seed в выгрузке неполны,871400.0,0.5
100000008460102100,входящие извне выборки,"отдал 477 тыс ₸, получил в выборке 18 тыс ₸: разница 459 тыс ₸; проверить начальный остаток и невидимый вход",459070.0,0.4984
100000001567366100,снятие наличных / межбанк / покупки,"получил 824 тыс ₸ от 1, внутрибанковских исходящих нет",824070.0,0.4966
100000004140487100,входящие извне выборки,"отдал 263 тыс ₸, получил в выборке 25 тыс ₸: разница 238 тыс ₸; проверить начальный остаток и невидимый вход",238090.0,0.4962
100000004717647100,входящие извне выборки,"отдал 2.2 млн ₸, получил в выборке 300 тыс ₸: разница 1.9 млн ₸; проверить начальный остаток и невидимый вход",1940000.0,0.4959
100000002369874100,снятие наличных / межбанк / покупки,"получил 600 тыс ₸ от 4, внутрибанковских исходящих нет",600000.0,0.4949
100000002793881100,снятие наличных / межбанк / покупки,"получил 786 тыс ₸ от 3, внутрибанковских исходящих нет",785600.0,0.4924
100000008314203100,входящие seed (источник выручки),seed переправил 327 тыс ₸; входящие seed в выгрузке неполны,327000.0,0.4911
100000008461532100,входящие извне выборки,"отдал 2.5 млн ₸, получил в выборке 565 тыс ₸: разница 2 млн ₸; проверить начальный остаток и невидимый вход",1964790.0,0.4906
100000008512552100,входящие извне выборки,"отдал 1.3 млн ₸, получил в выборке 394 тыс ₸: разница 908 тыс ₸; проверить начальный остаток и невидимый вход",907915.0,0.4888
100000001530983100,входящие извне выборки,"отдал 1.8 млн ₸, получил в выборке 564 тыс ₸: разница 1.3 млн ₸; проверить начальный остаток и невидимый вход",1265380.0,0.4884
100000002836736100,снятие наличных / межбанк / покупки,"получил 509 тыс ₸ от 2, внутрибанковских исходящих нет",509000.0,0.4875
100000005523088100,снятие наличных / межбанк / покупки,"получил 700 тыс ₸ от 1, внутрибанковских исходящих нет",700000.0,0.4864
100000002956769100,снятие наличных / межбанк / покупки,"получил 840 тыс ₸ от 3, внутрибанковских исходящих нет",840000.0,0.4834
100000003835149100,входящие извне выборки,"отдал 4.6 млн ₸, получил в выборке 248 тыс ₸: разница 4.4 млн ₸; проверить начальный остаток и невидимый вход",4351940.0,0.481
100000004906181100,входящие извне выборки,"отдал 2.5 млн ₸, получил в выборке 100 тыс ₸: разница 2.4 млн ₸; проверить начальный остаток и невидимый вход",2373417.91,0.4804
100000001875239100,снятие наличных / межбанк / покупки,"получил 712 тыс ₸ от 3, внутрибанковских исходящих нет",712000.0,0.4792
100000003213473100,входящие извне выборки,"отдал 240 тыс ₸, получил в выборке 58 тыс ₸: разница 182 тыс ₸; проверить начальный остаток и невидимый вход",182500.0,0.4786
100000005183943100,снятие наличных / межбанк / покупки,"получил 681 тыс ₸ от 1, внутрибанковских исходящих нет",680900.0,0.4674
100000002443664100,снятие наличных / межбанк / покупки,"получил 557 тыс ₸ от 3, внутрибанковских исходящих нет",556880.0,0.4668
100000008746449100,входящие извне выборки,"отдал 1 млн ₸, получил в выборке 10 тыс ₸: разница 999 тыс ₸; проверить начальный остаток и невидимый вход",999000.0,0.4647
100000002645609100,снятие наличных / межбанк / покупки,"получил 547 тыс ₸ от 4, внутрибанковских исходящих нет",546820.6799999999,0.4646
100000003159641100,входящие извне выборки,"отдал 198 тыс ₸, получил в выборке 64 тыс ₸: разница 134 тыс ₸; проверить начальный остаток и невидимый вход",133800.0,0.4588
100000003111305100,снятие наличных / межбанк / покупки,"получил 509 тыс ₸ от 4, внутрибанковских исходящих нет",509338.0,0.4524
100000003157679100,снятие наличных / межбанк / покупки,"получил 541 тыс ₸ от 4, внутрибанковских исходящих нет",541000.0,0.4515
100000002872399100,снятие наличных / межбанк / покупки,"получил 1.1 млн ₸ от 1, внутрибанковских исходящих нет",1090000.0,0.45
100000001611488100,снятие наличных / межбанк / покупки,"получил 779 тыс ₸ от 2, внутрибанковских исходящих нет",779300.0,0.4498
100000005612411100,входящие извне выборки,"отдал 507 тыс ₸, получил в выборке 116 тыс ₸: разница 391 тыс ₸; проверить начальный остаток и невидимый вход",391497.0,0.4494
100000002217161100,входящие извне выборки,"отдал 995 тыс ₸, получил в выборке 405 тыс ₸: разница 590 тыс ₸; проверить начальный остаток и невидимый вход",590382.0,0.449
100000002267998100,входящие извне выборки,"отдал 1.1 млн ₸, получил в выборке 420 тыс ₸: разница 695 тыс ₸; проверить начальный остаток и невидимый вход",695000.0,0.4467
100000008545727100,входящие извне выборки,"отдал 1.9 млн ₸, получил в выборке 30 тыс ₸: разница 1.8 млн ₸; проверить начальный остаток и невидимый вход",1836500.0,0.4463
100000003977183100,входящие seed (источник выручки),seed переправил 766 тыс ₸; входящие seed в выгрузке неполны,766000.0,0.4449
100000004722765100,входящие извне выборки,"отдал 2.3 млн ₸, получил в выборке 230 тыс ₸: разница 2.1 млн ₸; проверить начальный остаток и невидимый вход",2054500.0,0.4433
100000004390333100,входящие извне выборки,"отдал 506 тыс ₸, получил в выборке 65 тыс ₸: разница 442 тыс ₸; проверить начальный остаток и невидимый вход",441942.0,0.4413
100000008731444100,входящие извне выборки,"отдал 880 тыс ₸, получил в выборке 439 тыс ₸: разница 441 тыс ₸; проверить начальный остаток и невидимый вход",440767.80000000005,0.4405
100000001584286100,снятие наличных / межбанк / покупки,"получил 739 тыс ₸ от 2, внутрибанковских исходящих нет",738699.0,0.4381
100000002733905100,входящие извне выборки,"отдал 718 тыс ₸, получил в выборке 100 тыс ₸: разница 618 тыс ₸; проверить начальный остаток и невидимый вход",617839.0,0.4355
100000000089154100,входящие извне выборки,"отдал 426 тыс ₸, получил в выборке 10 тыс ₸: разница 416 тыс ₸; проверить начальный остаток и невидимый вход",415500.0,0.4328
100000001714173100,снятие наличных / межбанк / покупки,"получил 639 тыс ₸ от 1, внутрибанковских исходящих нет",638905.0,0.4294
100000002731501100,входящие извне выборки,"отдал 834 тыс ₸, получил в выборке 570 тыс ₸: разница 264 тыс ₸; проверить начальный остаток и невидимый вход",263590.0,0.4275
100000008758168100,входящие извне выборки,"отдал 1.5 млн ₸, получил в выборке 75 тыс ₸: разница 1.5 млн ₸; проверить начальный остаток и невидимый вход",1458190.0,0.4265
100000002945626100,снятие наличных / межбанк / покупки,"получил 584 тыс ₸ от 3, внутрибанковских исходящих нет",584000.0,0.4238
100000004007116100,входящие seed (источник выручки),seed переправил 148 тыс ₸; входящие seed в выгрузке неполны,148000.0,0.4222
100000008603331100,входящие извне выборки,"отдал 742 тыс ₸, получил в выборке 40 тыс ₸: разница 702 тыс ₸; проверить начальный остаток и невидимый вход",702274.0,0.419
100000002241986100,входящие извне выборки,"отдал 3.1 млн ₸, получил в выборке 280 тыс ₸: разница 2.8 млн ₸; проверить начальный остаток и невидимый вход",2797000.0,0.415
100000002459832100,снятие наличных / межбанк / покупки,"получил 881 тыс ₸ от 2, внутрибанковских исходящих нет",880606.0,0.415
100000001875167100,снятие наличных / межбанк / покупки,"получил 1 млн ₸ от 1, внутрибанковских исходящих нет",1000000.0,0.4141
100000008650785100,входящие seed (источник выручки),seed переправил 120 тыс ₸; входящие seed в выгрузке неполны,120120.0,0.411
100000007898453100,входящие извне выборки,"отдал 320 тыс ₸, получил в выборке 25 тыс ₸: разница 295 тыс ₸; проверить начальный остаток и невидимый вход",295250.0,0.41
100000008752616100,входящие извне выборки,"отдал 1.3 млн ₸, получил в выборке 65 тыс ₸: разница 1.2 млн ₸; проверить начальный остаток и невидимый вход",1200490.0,0.4078
100000008730371100,снятие наличных / межбанк / покупки,"получил 520 тыс ₸ от 2, внутрибанковских исходящих нет",520000.0,0.4071
100000002936322100,снятие наличных / межбанк / покупки,"получил 787 тыс ₸ от 2, внутрибанковских исходящих нет",787133.0,0.4052
100000003221384100,снятие наличных / межбанк / покупки,"получил 511 тыс ₸ от 1, внутрибанковских исходящих нет",511200.0,0.4037
100000001904863100,снятие наличных / межбанк / покупки,"получил 500 тыс ₸ от 1, внутрибанковских исходящих нет",500000.0,0.4035
100000004399686100,снятие наличных / межбанк / покупки,"получил 806 тыс ₸ от 1, внутрибанковских исходящих нет",806000.0,0.3996
100000003366154100,входящие извне выборки,"отдал 289 тыс ₸, получил в выборке 125 тыс ₸: разница 164 тыс ₸; проверить начальный остаток и невидимый вход",164170.0,0.3973
100000008213966100,входящие извне выборки,"отдал 437 тыс ₸, получил в выборке 187 тыс ₸: разница 250 тыс ₸; проверить начальный остаток и невидимый вход",249896.0,0.3965
100000003964910100,снятие наличных / межбанк / покупки,"получил 1 млн ₸ от 2, внутрибанковских исходящих нет",1000000.0,0.3962
100000008628231100,входящие извне выборки,"отдал 628 тыс ₸, получил в выборке 50 тыс ₸: разница 578 тыс ₸; проверить начальный остаток и невидимый вход",577870.0,0.3929
100000003163886100,снятие наличных / межбанк / покупки,"получил 500 тыс ₸ от 1, внутрибанковских исходящих нет",500000.0,0.3906
100000004587414100,снятие наличных / межбанк / покупки,"получил 534 тыс ₸ от 2, внутрибанковских исходящих нет",533603.0,0.3899
100000004017410100,входящие извне выборки,"отдал 1.3 млн ₸, получил в выборке 194 тыс ₸: разница 1.1 млн ₸; проверить начальный остаток и невидимый вход",1137265.0,0.3879
100000002753146100,снятие наличных / межбанк / покупки,"получил 804 тыс ₸ от 1, внутрибанковских исходящих нет",803540.0,0.3847
100000002722108100,снятие наличных / межбанк / покупки,"получил 800 тыс ₸ от 1, внутрибанковских исходящих нет",800000.0,0.3844
100000002748761100,снятие наличных / межбанк / покупки,"получил 797 тыс ₸ от 1, внутрибанковских исходящих нет",796800.0,0.3841
100000002152857100,входящие извне выборки,"отдал 1.2 млн ₸, получил в выборке 105 тыс ₸: разница 1.1 млн ₸; проверить начальный остаток и невидимый вход",1125000.0,0.3837
100000008193577100,входящие извне выборки,"отдал 480 тыс ₸, получил в выборке 154 тыс ₸: разница 326 тыс ₸; проверить начальный остаток и невидимый вход",325880.0,0.3837
100000008497298100,снятие наличных / межбанк / покупки,"получил 600 тыс ₸ от 1, внутрибанковских исходящих нет",600000.0,0.3831
100000008137435100,входящие извне выборки,"отдал 1.4 млн ₸, получил в выборке 94 тыс ₸: разница 1.3 млн ₸; проверить начальный остаток и невидимый вход",1325794.0,0.3821
100000004670388100,входящие извне выборки,"отдал 720 тыс ₸, получил в выборке 160 тыс ₸: разница 560 тыс ₸; проверить начальный остаток и невидимый вход",559646.0,0.3769
100000006232815100,входящие seed (источник выручки),seed переправил 296 тыс ₸; входящие seed в выгрузке неполны,296500.0,0.3758
100000003164661100,снятие наличных / межбанк / покупки,"получил 596 тыс ₸ от 1, внутрибанковских исходящих нет",596200.0,0.3756
100000005527892100,входящие извне выборки,"отдал 552 тыс ₸, получил в выборке 220 тыс ₸: разница 332 тыс ₸; проверить начальный остаток и невидимый вход",332418.0,0.3727
100000002559089100,снятие наличных / межбанк / покупки,"получил 715 тыс ₸ от 2, внутрибанковских исходящих нет",715000.0,0.3697
100000007639767100,входящие извне выборки,"отдал 822 тыс ₸, получил в выборке 91 тыс ₸: разница 731 тыс ₸; проверить начальный остаток и невидимый вход",731331.0,0.3696
100000008221543100,снятие наличных / межбанк / покупки,"получил 542 тыс ₸ от 2, внутрибанковских исходящих нет",542000.0,0.3686
100000008389800100,входящие извне выборки,"отдал 402 тыс ₸, получил в выборке 189 тыс ₸: разница 213 тыс ₸; проверить начальный остаток и невидимый вход",212620.0,0.368
100000007747786100,входящие seed (источник выручки),seed переправил 4.2 млн ₸; входящие seed в выгрузке неполны,4238009.4,0.3668
100000004737764100,снятие наличных / межбанк / покупки,"получил 600 тыс ₸ от 1, внутрибанковских исходящих нет",600000.0,0.3662
100000001380054100,входящие извне выборки,"отдал 360 тыс ₸, получил в выборке 127 тыс ₸: разница 233 тыс ₸; проверить начальный остаток и невидимый вход",232950.0,0.3659
100000003457710100,входящие извне выборки,"отдал 1.3 млн ₸, получил в выборке 327 тыс ₸: разница 979 тыс ₸; проверить начальный остаток и невидимый вход",979445.0,0.3656
100000001690558100,снятие наличных / межбанк / покупки,"получил 740 тыс ₸ от 1, внутрибанковских исходящих нет",740000.0,0.3608
100000004183610100,входящие извне выборки,"отдал 915 тыс ₸, получил в выборке 22 тыс ₸: разница 893 тыс ₸; проверить начальный остаток и невидимый вход",893000.0,0.3594
100000008172352100,входящие извне выборки,"отдал 290 тыс ₸, получил в выборке 90 тыс ₸: разница 199 тыс ₸; проверить начальный остаток и невидимый вход",199245.0,0.3592
100000008625905100,входящие извне выборки,"отдал 635 тыс ₸, получил в выборке 198 тыс ₸: разница 437 тыс ₸; проверить начальный остаток и невидимый вход",437200.0,0.3584
100000004527381100,входящие извне выборки,"отдал 274 тыс ₸, получил в выборке 119 тыс ₸: разница 155 тыс ₸; проверить начальный остаток и невидимый вход",154532.94,0.3564
100000004480280100,входящие извне выборки,"отдал 296 тыс ₸, получил в выборке 147 тыс ₸: разница 149 тыс ₸; проверить начальный остаток и невидимый вход",149156.0,0.3564
100000002205022100,входящие извне выборки,"отдал 518 тыс ₸, получил в выборке 7 тыс ₸: разница 511 тыс ₸; проверить начальный остаток и невидимый вход",510900.0,0.3511
