cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,hypothesis,archetype,sum_kzt_in_from_other,sum_kzt_out_to_other,roles,n_return_cycles_nodes,truncated_share,stability,priority_sum
10,54,3,12056264.8,100000000437046100;100000006889963100;100000008637537100;100000001732159100;100000004759121100,"54 узла, 3 seed, внутр. оборот 12.1 млн ₸. Признаки ядра сети: 1 координатор (100000000437046100) одновременно собирает и раздаёт средства, связан с другими ключевыми узлами; 9 узлов в возвратных циклах. Гипотеза: центр управления потоками/обналичивания — проверять первым. Ключевой узел: 100000000437046100 (координатор, 9→42). Кластер неустойчив (устойчивость 0.36 при перезапусках Louvain): границы условны, опирайтесь на роли узлов.",ядро,4079506.0,2452316.0,peripheral:31;terminal:14;consolidator:5;transit:3;coordinator:1,9,0.204,0.357,15.291
11,54,0,16858436.0,100000005242320100;100000007442518100;100000000673868100;100000008258083100;100000002670860100,"54 узла, 0 seed, внутр. оборот 16.9 млн ₸. Признаки веерного распределения: 100000005242320100 разослал 8.9 млн ₸ 21 получателю, 95% из них — конечные/периферия. Гипотеза: выплаты исполнителям или обнал через дропов. Ключевой узел: 100000005242320100 (распределитель, 2→21).",веерные выплаты,681827.0,1021800.0,terminal:27;peripheral:25;transit:1;distributor:1,3,0.185,0.783,14.338
12,150,1,5518694.0,100000001697501100;100000002527114100;100000001166289100;100000002733905100;100000003942602100,"150 узлов, 1 seed, внутр. оборот 5.5 млн ₸. Признаки веерного распределения: 100000002527114100 разослал 3.3 млн ₸ 111 получателям, 98% из них — конечные/периферия. Гипотеза: выплаты исполнителям или обнал через дропов. Ключевой узел: 100000001697501100 (распределитель, 3→38).",веерные выплаты,73700.0,120000.0,peripheral:144;terminal:3;distributor:2;transit:1,8,0.0,1.0,13.192
13,58,3,6630000.0,100000008346837100;100000005074393100;100000005882013100;100000006424479100;100000008603331100,"58 узлов, 3 seed, внутр. оборот 6.6 млн ₸. Признаки ядра сети: 1 координатор (100000008346837100) одновременно собирает и раздаёт средства, связан с другими ключевыми узлами; 8 узлов в возвратных циклах. Гипотеза: центр управления потоками/обналичивания — проверять первым. Ключевой узел: 100000008346837100 (координатор, 9→25).",ядро,683451.0,648717.0,peripheral:46;terminal:10;transit:1;coordinator:1,8,0.293,0.825,12.842
14,56,0,7308069.0,100000003242289100;100000004351795100;100000006225798100;100000008512552100;100000003159641100,"56 узлов, 0 seed, внутр. оборот 7.3 млн ₸. Признаки веерного распределения: 100000003242289100 разослал 2.4 млн ₸ 23 получателям, 83% из них — конечные/периферия. Гипотеза: выплаты исполнителям или обнал через дропов. Ключевой узел: 100000003242289100 (распределитель, 3→23).",веерные выплаты,1257457.0,1587697.8,peripheral:39;terminal:13;consolidator:2;distributor:2,6,0.214,0.542,11.803
15,69,0,5204649.67,100000005704413100;100000005578559100;100000006707582100;100000007998965100;100000008545727100,"69 узлов, 0 seed, внутр. оборот 5.2 млн ₸. Признаки веерного распределения: 100000005704413100 разослал 1.4 млн ₸ 32 получателям, 88% из них — конечные/периферия. Гипотеза: выплаты исполнителям или обнал через дропов. Ключевой узел: 100000005704413100 (распределитель, 3→32).",веерные выплаты,385097.0,551265.0,peripheral:52;terminal:12;distributor:3;consolidator:1;transit:1,7,0.391,0.81,11.788
16,59,4,12359152.84,100000005933757100;100000004159526100;100000002605308100;100000001937767100;100000002963189100,"59 узлов, 4 seed, внутр. оборот 12.4 млн ₸. Признаки веерного распределения: 100000005933757100 разослал 3 млн ₸ 34 получателям, 91% из них — конечные/периферия. Гипотеза: выплаты исполнителям или обнал через дропов. Ключевой узел: 100000005933757100 (распределитель, 4→34).",веерные выплаты,347281.0,532544.0,peripheral:47;terminal:10;consolidator:1;distributor:1,7,0.169,0.842,11.599
17,53,1,2993313.0,100000001899164100;100000003265158100;100000004692798100;100000002193259100;100000000933075100,"53 узла, 1 seed, внутр. оборот 3 млн ₸. Признаки консолидации: 100000003265158100 получает от 3 плательщиков (seed: 2), дальше уходит 106%. Гипотеза: точка сбора выручки от нижнего уровня. Ключевой узел: 100000001899164100 (консолидатор, 4→3).",контур сбора,275843.4,138771.0,peripheral:39;terminal:7;transit:4;consolidator:2;distributor:1,11,0.151,0.977,11.029
18,41,1,7779810.0,100000007594394100;100000005782781100;100000006274203100;100000008546855100;100000003854444100,"41 узел, 1 seed, внутр. оборот 7.8 млн ₸. Признаки ядра сети: 1 координатор (100000005782781100) одновременно собирает и раздаёт средства, связан с другими ключевыми узлами; 7 узлов в возвратных циклах. Гипотеза: центр управления потоками/обналичивания — проверять первым. Ключевой узел: 100000007594394100 (консолидатор, 6→1).",ядро,883882.0,170832.0,peripheral:22;terminal:13;consolidator:3;distributor:1;transit:1;coordinator:1,7,0.171,0.79,10.534
19,120,0,4465650.0,100000002578405100;100000008493007100;100000002214383100;100000004292885100;100000001632325100,"120 узлов, 0 seed, внутр. оборот 4.5 млн ₸. Признаки веерного распределения: 100000002578405100 разослал 3.1 млн ₸ 116 получателям, 98% из них — конечные/периферия. Гипотеза: выплаты исполнителям или обнал через дропов. Ключевой узел: 100000002578405100 (распределитель, 2→116).",веерные выплаты,120000.0,73700.0,peripheral:115;terminal:3;distributor:1;transit:1,2,0.033,1.0,7.393
20,29,0,4706252.85,100000008304139100;100000007629096100;100000008324800100;100000002741024100;100000007639767100,"29 узлов, 0 seed, внутр. оборот 4.7 млн ₸. Признаки веерного распределения: 100000008304139100 разослал 1.7 млн ₸ 24 получателям, 42% из них — конечные/периферия. Гипотеза: выплаты исполнителям или обнал через дропов. Ключевой узел: 100000008304139100 (распределитель, 4→24). Кластер неустойчив (устойчивость 0.25 при перезапусках Louvain): границы условны, опирайтесь на роли узлов.",веерные выплаты,535197.75,1430981.0,peripheral:23;transit:2;terminal:2;consolidator:1;distributor:1,10,0.103,0.255,6.862
21,17,1,21586840.0,100000002224132100;100000004892144100;100000000594783100;100000000552584100;100000005820746100,"17 узлов, 1 seed, внутр. оборот 21.6 млн ₸. Признаки консолидации: 100000002224132100 получает от 5 плательщиков (seed: 0), дальше уходит 307%. Гипотеза: точка сбора выручки от нижнего уровня. Ключевой узел: 100000002224132100 (консолидатор, 5→4).",контур сбора,17000.0,0.0,peripheral:8;terminal:7;consolidator:1;transit:1,9,0.0,1.0,6.828
22,24,0,3340669.0,100000005519998100;100000004336312100;100000000838385100;100000008213966100;100000004017410100,"24 узла, 0 seed, внутр. оборот 3.3 млн ₸. Выбранные пороги ролей не достигнуты. Назначение переводов неизвестно; в этой модели приоритет низкий. Ключевой узел: 100000005519998100 (транзит, 3→3).",периферия,69250.0,0.0,peripheral:21;transit:2;terminal:1,11,0.333,1.0,5.084
23,18,0,3422800.0,100000003701161100;100000003718221100;100000002267998100;100000003104347100;100000008137435100,"18 узлов, 0 seed, внутр. оборот 3.4 млн ₸. Признаки консолидации: 100000003701161100 получает от 4 плательщиков (seed: 1), дальше уходит 23%. Гипотеза: точка сбора выручки от нижнего уровня. Ключевой узел: 100000003701161100 (консолидатор, 4→3).",контур сбора,302009.0,51400.0,peripheral:11;terminal:5;consolidator:1;transit:1,3,0.111,1.0,4.862
24,17,1,2977887.0,100000004160650100;100000002731501100;100000004144536100;100000004007116100;100000003275398100,"17 узлов, 1 seed, внутр. оборот 3 млн ₸. Признаки веерного распределения: 100000004160650100 разослал 1.5 млн ₸ 10 получателям, 80% из них — конечные/периферия. Гипотеза: выплаты исполнителям или обнал через дропов. Ключевой узел: 100000004160650100 (распределитель, 2→10).",веерные выплаты,0.0,0.0,peripheral:9;terminal:5;transit:1;consolidator:1;distributor:1,5,0.059,1.0,4.499
25,11,0,3784703.0,100000002175422100;100000003004487100;100000002975437100;100000002710570100;100000003557488100,"11 узлов, 0 seed, внутр. оборот 3.8 млн ₸. Признаки консолидации: 100000003004487100 получает от 4 плательщиков (seed: 1), дальше уходит 144%. Гипотеза: точка сбора выручки от нижнего уровня. Ключевой узел: 100000002175422100 (периферия, 3→6).",контур сбора,68702.8,0.0,peripheral:6;terminal:4;consolidator:1,4,0.273,1.0,3.511
26,13,1,1392916.0,100000005077484100;100000006232815100;100000003164661100;100000001380054100;100000001782980100,"13 узлов, 1 seed, внутр. оборот 1.4 млн ₸. Выбранные пороги ролей не достигнуты. Назначение переводов неизвестно; в этой модели приоритет низкий. Ключевой узел: 100000005077484100 (конечный получатель, 1→2).",периферия,0.0,0.0,peripheral:10;terminal:2;transit:1,3,0.0,1.0,2.982
27,15,0,3626010.0,100000008461532100;100000006704530100;100000000791285100;100000003122817100;100000002691583100,"15 узлов, 0 seed, внутр. оборот 3.6 млн ₸. Выбранные пороги ролей не достигнуты. Назначение переводов неизвестно; в этой модели приоритет низкий. Ключевой узел: 100000008461532100 (периферия, 2→8).",периферия,5300.0,0.0,peripheral:11;terminal:3;transit:1,2,0.4,1.0,2.914
28,20,0,617900.0,100000003154105100;100000001427082100;100000002448088100;100000000723383100;100000002185328100,"20 узлов, 0 seed, внутр. оборот 618 тыс ₸. 75% узлов обрезаны 4-м коленом — структура не видна. Гипотеза не формируется без исходящих 5-го колена. Ключевой узел: 100000003154105100 (периферия, 1→7).",граница выборки,16800.0,0.0,peripheral:20,0,0.75,0.825,2.557
29,5,1,2809200.0,100000004135268100;100000008571433100;100000002738256100;100000007507343100;100000004979498100,"5 узлов, 1 seed, внутр. оборот 2.8 млн ₸. Признаки транзита: 3 узла пропускают деньги дальше почти без остатка. Гипотеза: цепочка «прокладок» между сбором и получателем. Ключевой узел: 100000004135268100 (транзит, 2→3).",транзитная цепочка,0.0,0.0,transit:3;peripheral:1;terminal:1,4,0.0,1.0,2.517
30,15,0,850450.0,100000002472632100;100000001526235100;100000001788284100;100000005505655100;100000002984403100,"15 узлов, 0 seed, внутр. оборот 850 тыс ₸. Выбранные пороги ролей не достигнуты. Назначение переводов неизвестно; в этой модели приоритет низкий. Ключевой узел: 100000002472632100 (конечный получатель, 2→1).",периферия,13070.0,0.0,peripheral:14;terminal:1,4,0.4,1.0,2.36
31,6,1,1615030.0,100000008659445100;100000005456919100;100000008736940100;100000008193577100;100000008751429100,"6 узлов, 1 seed, внутр. оборот 1.6 млн ₸. Выбранные пороги ролей не достигнуты. Назначение переводов неизвестно; в этой модели приоритет низкий. Ключевой узел: 100000008659445100 (транзит, 3→4).",периферия,0.0,0.0,peripheral:4;terminal:1;transit:1,5,0.0,1.0,2.32
32,29,0,446070.0,100000008460102100;100000001164648100;100000004891562100;100000006491963100;100000002706810100,"29 узлов, 0 seed, внутр. оборот 446 тыс ₸. Признаки веерного распределения: 100000008460102100 разослал 477 тыс ₸ 31 получателю, 94% из них — конечные/периферия. Гипотеза: выплаты исполнителям или обнал через дропов. Ключевой узел: 100000008460102100 (распределитель, 1→31).",веерные выплаты,23900.0,30500.0,peripheral:25;terminal:3;distributor:1,0,0.931,0.657,2.22
33,6,1,1527967.0,100000007939160100;100000000580561100;100000005183943100;100000003888271100;100000007930878100,"6 узлов, 1 seed, внутр. оборот 1.5 млн ₸. Выбранные пороги ролей не достигнуты. Назначение переводов неизвестно; в этой модели приоритет низкий. Ключевой узел: 100000007939160100 (конечный получатель, 1→2).",периферия,0.0,0.0,peripheral:3;terminal:2;transit:1,3,0.0,1.0,1.936
34,6,0,2540000.0,100000004717647100;100000004479404100;100000002922000100;100000002659103100;100000001533161100,"6 узлов, 0 seed, внутр. оборот 2.5 млн ₸. 67% узлов обрезаны 4-м коленом — структура не видна. Гипотеза не формируется без исходящих 5-го колена. Ключевой узел: 100000004717647100 (периферия, 1→5).",граница выборки,12000.0,0.0,terminal:3;peripheral:3,2,0.667,0.71,1.638
35,7,0,1765600.0,100000007392365100;100000003631015100;100000004976946100;100000005745873100;100000007865484100,"7 узлов, 0 seed, внутр. оборот 1.8 млн ₸. 86% узлов обрезаны 4-м коленом — структура не видна. Гипотеза не формируется без исходящих 5-го колена. Ключевой узел: 100000007392365100 (периферия, 1→6).",граница выборки,9613.0,0.0,peripheral:4;terminal:3,0,0.857,1.0,1.565
36,5,0,1189154.0,100000000291906100;100000000291908100;100000004670388100;100000004722630100;100000004691350100,"5 узлов, 0 seed, внутр. оборот 1.2 млн ₸. Признаки транзита: 1 узел пропускает деньги дальше почти без остатка. Гипотеза: цепочка «прокладок» между сбором и получателем. Ключевой узел: 100000000291906100 (транзит, 2→2).",транзитная цепочка,8000.0,0.0,peripheral:3;transit:1;terminal:1,2,0.4,0.902,1.532
37,6,1,383300.0,100000004094958100;100000004331458100;100000005547096100;100000005546031100;100000005363908100,"6 узлов, 1 seed, внутр. оборот 383 тыс ₸. Выбранные пороги ролей не достигнуты. Назначение переводов неизвестно; в этой модели приоритет низкий. Ключевой узел: 100000004094958100 (транзит, 1→1).",периферия,0.0,0.0,peripheral:4;transit:1;terminal:1,2,0.0,1.0,1.47
38,8,0,389000.0,100000005507142100;100000002612809100;100000005264874100;100000001825934100;100000002214207100,"8 узлов, 0 seed, внутр. оборот 389 тыс ₸. 50% узлов обрезаны 4-м коленом — структура не видна. Гипотеза не формируется без исходящих 5-го колена. Ключевой узел: 100000005507142100 (периферия, 3→3). Кластер неустойчив (устойчивость 0.39 при перезапусках Louvain): границы условны, опирайтесь на роли узлов.",граница выборки,23000.0,0.0,peripheral:8,3,0.5,0.394,1.37
39,4,1,1404980.0,100000008601794100;100000001872484100;100000000785800100;100000002459163100,"4 узла, 1 seed, внутр. оборот 1.4 млн ₸. Признаки транзита: 1 узел пропускает деньги дальше почти без остатка. Гипотеза: цепочка «прокладок» между сбором и получателем. Ключевой узел: 100000008601794100 (транзит, 2→1).",транзитная цепочка,0.0,0.0,peripheral:3;transit:1,3,0.0,1.0,1.205
40,3,1,450000.0,100000002371751100;100000000769919100;100000007018630100,"3 узла, 1 seed, внутр. оборот 450 тыс ₸. Признаки транзита: 2 узла пропускают деньги дальше почти без остатка. Гипотеза: цепочка «прокладок» между сбором и получателем. Ключевой узел: 100000002371751100 (транзит, 1→1).",транзитная цепочка,0.0,0.0,transit:2;terminal:1,0,0.0,1.0,1.111
41,7,0,143000.0,100000004508696100;100000005911352100;100000000507799100;100000003962994100;100000005127767100,"7 узлов, 0 seed, внутр. оборот 143 тыс ₸. Выбранные пороги ролей не достигнуты. Назначение переводов неизвестно; в этой модели приоритет низкий. Ключевой узел: 100000004508696100 (периферия, 1→3).",периферия,5132.0,0.0,peripheral:7,2,0.286,1.0,1.017
42,6,1,275885.0,100000005895525100;100000002462183100;100000005485830100;100000005056870100;100000007175718100,"6 узлов, 1 seed, внутр. оборот 276 тыс ₸. Выбранные пороги ролей не достигнуты. Назначение переводов неизвестно; в этой модели приоритет низкий. Ключевой узел: 100000005895525100 (конечный получатель, 1→0).",периферия,0.0,0.0,peripheral:3;terminal:2;transit:1,0,0.0,1.0,1.016
43,3,1,450816.0,100000005034574100;100000007283257100;100000004388983100,"3 узла, 1 seed, внутр. оборот 451 тыс ₸. Признаки транзита: 1 узел пропускает деньги дальше почти без остатка. Гипотеза: цепочка «прокладок» между сбором и получателем. Ключевой узел: 100000005034574100 (конечный получатель, 1→0).",транзитная цепочка,0.0,0.0,terminal:2;transit:1,0,0.0,1.0,0.97
44,5,0,172000.0,100000005031696100;100000004659919100;100000001223977100;100000002700161100;100000008461217100,"5 узлов, 0 seed, внутр. оборот 172 тыс ₸. Выбранные пороги ролей не достигнуты. Назначение переводов неизвестно; в этой модели приоритет низкий. Ключевой узел: 100000005031696100 (периферия, 1→2).",периферия,5000.0,0.0,peripheral:5,0,0.4,0.905,0.936
45,4,1,79050.0,100000003148220100;100000006888238100;100000004971871100;100000001852140100,"4 узла, 1 seed, внутр. оборот 79 тыс ₸. Выбранные пороги ролей не достигнуты. Назначение переводов неизвестно; в этой модели приоритет низкий. Ключевой узел: 100000003148220100 (периферия, 1→2).",периферия,0.0,0.0,peripheral:4,2,0.0,1.0,0.648
46,5,2,108007.0,100000006562026100;100000007347733100;100000008129393100;100000006249740100;100000006831291100,"5 узлов, 2 seed, внутр. оборот 108 тыс ₸. Выбранные пороги ролей не достигнуты. Назначение переводов неизвестно; в этой модели приоритет низкий. Ключевой узел: 100000006562026100 (конечный получатель, 2→0).",периферия,0.0,0.0,peripheral:4;terminal:1,0,0.0,1.0,0.598
47,4,0,332709.0,100000002513028100;100000004610802100;100000002516862100;100000004780083100,"4 узла, 0 seed, внутр. оборот 333 тыс ₸. 75% узлов обрезаны 4-м коленом — структура не видна. Гипотеза не формируется без исходящих 5-го колена. Ключевой узел: 100000002513028100 (периферия, 1→3). Кластер неустойчив (устойчивость 0.22 при перезапусках Louvain): границы условны, опирайтесь на роли узлов.",граница выборки,9500.0,0.0,peripheral:4,0,0.75,0.224,0.573
48,2,1,81465.0,100000003865939100;100000005392290100,"2 узла, 1 seed, внутр. оборот 81 тыс ₸. Выбранные пороги ролей не достигнуты. Назначение переводов неизвестно; в этой модели приоритет низкий. Ключевой узел: 100000003865939100 (периферия, 1→0).",периферия,0.0,0.0,peripheral:2,0,0.0,1.0,0.208
49,2,1,30000.0,100000003980083100;100000003200071100,"2 узла, 1 seed, внутр. оборот 30 тыс ₸. Выбранные пороги ролей не достигнуты. Назначение переводов неизвестно; в этой модели приоритет низкий. Ключевой узел: 100000003980083100 (периферия, 1→0).",периферия,0.0,0.0,peripheral:2,0,0.0,1.0,0.15
