rank,gid,role,priority_score,why,role_score,cluster_id,is_seed,depth,evidence
12,100000008165763100,coordinator,0.8602,"Координатор (соответствие правилу 0.82): Хаб: 15 плательщиков (seed: 1) → 17 получателей; вход 1.2 млн ₸, выход 1.3 млн ₸; связан с 13 ключевыми узлами. Главные факторы: роль, положение в сети, связь с фигурантами. Признаки: достижим из 6 seed (≤4 рёбер); модель смешивания ≈189 тыс ₸; 4 плательщиков в один день (2026-07-12); плательщиков — топ-1% своего колена. Проверить: источник средств, начальный остаток и полную выписку, связи с другими хабами.",0.819,1,False,1,"Хаб: 15 плательщиков (seed: 1) → 17 получателей; вход 1.2 млн ₸, выход 1.3 млн ₸; связан с 13 ключевыми узлами"
13,100000004400305100,coordinator,0.8459,"Координатор (соответствие правилу 0.85): Хаб: 7 плательщиков → 82 получателей; вход 223 тыс ₸, выход 5.8 млн ₸; связан с 24 ключевыми узлами; циклов со строгим порядком дат: 19. Главные факторы: роль, оборот, положение в сети. Признаки: достижим из 2 seed (≤4 рёбер); модель смешивания ≈5 тыс ₸; 19 циклов с возрастающими датами (не трассировка средств); 100% пригодного входа совместимо с лагом 1–2 дн.; получателей — топ-1% своего колена; посредник: betweenness 0.0026. Проверить: источник средств, начальный остаток и полную выписку, связи с другими хабами.",0.854,1,False,2,"Хаб: 7 плательщиков → 82 получателей; вход 223 тыс ₸, выход 5.8 млн ₸; связан с 24 ключевыми узлами; циклов со строгим порядком дат: 19"
14,100000006866783100,coordinator,0.82,"Координатор (соответствие правилу 0.90): Хаб: 13 плательщиков → 67 получателей; вход 839 тыс ₸, выход 3.9 млн ₸; связан с 18 ключевыми узлами; циклов со строгим порядком дат: 42. Главные факторы: роль, оборот, паттерны. Признаки: достижим из 3 seed (≤4 рёбер); модель смешивания ≈38 тыс ₸; 42 циклов с возрастающими датами (не трассировка средств); 5 плательщиков в один день (2026-07-14); 100% пригодного входа совместимо с лагом 1–2 дн.; 25 повторяющихся маршрутов A→узел→B; посредник: betweenness 0.0060. Проверить: источник средств, начальный остаток и полную выписку, связи с другими хабами. Уже в деле (seed).",0.903,1,True,0,"Хаб: 13 плательщиков → 67 получателей; вход 839 тыс ₸, выход 3.9 млн ₸; связан с 18 ключевыми узлами; циклов со строгим порядком дат: 42"
15,100000006889963100,consolidator,0.8184,"Консолидатор (соответствие правилу 0.72): Сбор от 4 плательщиков (seed: 2): 1.4 млн ₸; дальше ушло 31% (1 получ.); достижим из 9 seed (≤4 рёбер). Главные факторы: роль, связь с фигурантами, оборот. Признаки: достижим из 9 seed (≤4 рёбер); модель смешивания ≈533 тыс ₸; 4 плательщиков в один день (2026-07-21); 1 повторяющихся маршрутов A→узел→B. Проверить: полную выписку и возможные снятие наличных, межбанк, покупка активов.",0.721,10,False,1,Сбор от 4 плательщиков (seed: 2): 1.4 млн ₸; дальше ушло 31% (1 получ.); достижим из 9 seed (≤4 рёбер)
16,100000003016635100,distributor,0.8136,"Распределитель (соответствие правилу 0.94): Веер: 73 получателей при 8 плательщиках; разослал 9.4 млн ₸, в среднем 62 тыс ₸ за перевод; вход занижен (seed). Главные факторы: роль, оборот, паттерны. Признаки: достижим из 3 seed (≤4 рёбер); модель смешивания ≈106 тыс ₸; 8 циклов с возрастающими датами (не трассировка средств); 3 плательщиков в один день (2026-07-12); 90% пригодного входа совместимо с лагом 1–2 дн.; 55 повторяющихся маршрутов A→узел→B; выход ₸ — топ-1% своего колена; посредник: betweenness 0.0072. Проверить: источник средств, начальный остаток и получателей веера. Уже в деле (seed).",0.937,3,True,0,"Веер: 73 получателей при 8 плательщиках; разослал 9.4 млн ₸, в среднем 62 тыс ₸ за перевод; вход занижен (seed)"
17,100000008346837100,coordinator,0.8104,"Координатор (соответствие правилу 0.74): Хаб: 9 плательщиков → 25 получателей; вход 254 тыс ₸, выход 1.3 млн ₸; связан с 6 ключевыми узлами; циклов со строгим порядком дат: 8. Главные факторы: роль, положение в сети, оборот. Признаки: достижим из 6 seed (≤4 рёбер); модель смешивания ≈14 тыс ₸; 8 циклов с возрастающими датами (не трассировка средств); 4 плательщиков в один день (2026-07-20); 83% пригодного входа совместимо с лагом 1–2 дн.; посредник: betweenness 0.0090. Проверить: источник средств, начальный остаток и полную выписку, связи с другими хабами.",0.741,13,False,2,"Хаб: 9 плательщиков → 25 получателей; вход 254 тыс ₸, выход 1.3 млн ₸; связан с 6 ключевыми узлами; циклов со строгим порядком дат: 8"
18,100000004156082100,distributor,0.8069,"Распределитель (соответствие правилу 0.79): Веер: 26 получателей при 5 плательщиках; разослал 2.3 млн ₸, в среднем 80 тыс ₸ за перевод. Главные факторы: роль, оборот, положение в сети. Признаки: достижим из 4 seed (≤4 рёбер); модель смешивания ≈64 тыс ₸; 3 циклов с возрастающими датами (не трассировка средств); 100% пригодного входа совместимо с лагом 1–2 дн.; получателей — топ-1% своего колена; посредник: betweenness 0.0020. Проверить: источник средств, начальный остаток и получателей веера.",0.786,3,False,1,"Веер: 26 получателей при 5 плательщиках; разослал 2.3 млн ₸, в среднем 80 тыс ₸ за перевод"
19,100000002398779100,consolidator,0.8018,"Консолидатор (соответствие правилу 0.81): Сбор от 13 плательщиков: 1.1 млн ₸; дальше ушло 6% (1 получ.); достижим из 5 seed (≤4 рёбер). Главные факторы: роль, положение в сети, оборот. Признаки: достижим из 5 seed (≤4 рёбер); модель смешивания ≈30 тыс ₸; 7 плательщиков в один день (2026-07-09); 1 повторяющихся маршрутов A→узел→B; плательщиков — топ-1% своего колена. Проверить: полную выписку и возможные снятие наличных, межбанк, покупка активов.",0.809,1,False,2,Сбор от 13 плательщиков: 1.1 млн ₸; дальше ушло 6% (1 получ.); достижим из 5 seed (≤4 рёбер)
20,100000008748914100,distributor,0.7992,"Распределитель (соответствие правилу 0.70): Веер: 13 получателей при 2 плательщиках; разослал 4.5 млн ₸, в среднем 213 тыс ₸ за перевод. Главные факторы: оборот, роль, паттерны. Признаки: 1 циклов с возрастающими датами (не трассировка средств); 100% пригодного входа совместимо с лагом 1–2 дн.; 4 повторяющихся маршрутов A→узел→B; выход ₸ — топ-1% своего колена. Проверить: источник средств, начальный остаток и получателей веера.",0.703,5,False,1,"Веер: 13 получателей при 2 плательщиках; разослал 4.5 млн ₸, в среднем 213 тыс ₸ за перевод"
21,100000008489922100,distributor,0.7838,"Распределитель (соответствие правилу 0.85): Веер: 36 получателей при 3 плательщиках; разослал 3.8 млн ₸, в среднем 92 тыс ₸ за перевод. Главные факторы: роль, оборот, положение в сети. Признаки: достижим из 3 seed (≤4 рёбер); модель смешивания ≈3 тыс ₸; 1 циклов с возрастающими датами (не трассировка средств); 89% пригодного входа совместимо с лагом 1–2 дн.; получателей — топ-1% своего колена. Проверить: источник средств, начальный остаток и получателей веера.",0.85,2,False,3,"Веер: 36 получателей при 3 плательщиках; разослал 3.8 млн ₸, в среднем 92 тыс ₸ за перевод"
22,100000005242320100,distributor,0.7646,"Распределитель (соответствие правилу 0.78): Веер: 21 получателей при 2 плательщиках; разослал 8.9 млн ₸, в среднем 308 тыс ₸ за перевод. Главные факторы: оборот, роль, положение в сети. Признаки: достижим из 2 seed (≤4 рёбер); модель смешивания ≈3 тыс ₸; 100% пригодного входа совместимо с лагом 1–2 дн.; выход ₸ — топ-1% своего колена. Проверить: источник средств, начальный остаток и получателей веера.",0.778,11,False,2,"Веер: 21 получателей при 2 плательщиках; разослал 8.9 млн ₸, в среднем 308 тыс ₸ за перевод"
23,100000007594394100,consolidator,0.7646,"Консолидатор (соответствие правилу 0.70): Сбор от 6 плательщиков: 395 тыс ₸; отдал 3.4 млн ₸ 1 получ. — больше, чем получил в выборке; достижим из 4 seed (≤4 рёбер). Главные факторы: роль, оборот, положение в сети. Признаки: достижим из 4 seed (≤4 рёбер); модель смешивания ≈7 тыс ₸; 1 циклов с возрастающими датами (не трассировка средств); 100% пригодного входа совместимо с лагом 1–2 дн.. Проверить: полную выписку и возможные снятие наличных, межбанк, покупка активов.",0.698,17,False,2,"Сбор от 6 плательщиков: 395 тыс ₸; отдал 3.4 млн ₸ 1 получ. — больше, чем получил в выборке; достижим из 4 seed (≤4 рёбер)"
24,100000003701161100,consolidator,0.7605,"Консолидатор (соответствие правилу 0.65): Сбор от 4 плательщиков (seed: 1): 1.5 млн ₸; дальше ушло 23% (3 получ.); достижим из 3 seed (≤4 рёбер). Главные факторы: роль, положение в сети, оборот. Признаки: достижим из 3 seed (≤4 рёбер); модель смешивания ≈269 тыс ₸; 4 циклов с возрастающими датами (не трассировка средств); 1 повторяющихся маршрутов A→узел→B. Проверить: полную выписку и возможные снятие наличных, межбанк, покупка активов.",0.651,23,False,1,Сбор от 4 плательщиков (seed: 1): 1.5 млн ₸; дальше ушло 23% (3 получ.); достижим из 3 seed (≤4 рёбер)
25,100000008637537100,consolidator,0.7602,"Консолидатор (соответствие правилу 0.65): Сбор от 3 плательщиков (seed: 2): 620 тыс ₸; отдал 2.4 млн ₸ 3 получ. — больше, чем получил в выборке; достижим из 4 seed (≤4 рёбер). Главные факторы: роль, паттерны, оборот. Признаки: достижим из 4 seed (≤4 рёбер); модель смешивания ≈615 тыс ₸; 4 циклов с возрастающими датами (не трассировка средств); 73% пригодного входа совместимо с лагом 1–2 дн.; 1 повторяющихся маршрутов A→узел→B. Проверить: полную выписку и возможные снятие наличных, межбанк, покупка активов. Уже в деле (seed).",0.646,10,True,0,"Сбор от 3 плательщиков (seed: 2): 620 тыс ₸; отдал 2.4 млн ₸ 3 получ. — больше, чем получил в выборке; достижим из 4 seed (≤4 рёбер)"
26,100000005704413100,distributor,0.76,"Распределитель (соответствие правилу 0.83): Веер: 32 получателей при 3 плательщиках; разослал 1.4 млн ₸, в среднем 39 тыс ₸ за перевод. Главные факторы: роль, паттерны, положение в сети. Признаки: достижим из 2 seed (≤4 рёбер); модель смешивания ≈3 тыс ₸; 2 циклов с возрастающими датами (не трассировка средств); 100% пригодного входа совместимо с лагом 1–2 дн.; 6 повторяющихся маршрутов A→узел→B; получателей — топ-1% своего колена; посредник: betweenness 0.0026. Проверить: источник средств, начальный остаток и получателей веера.",0.833,15,False,3,"Веер: 32 получателей при 3 плательщиках; разослал 1.4 млн ₸, в среднем 39 тыс ₸ за перевод"
27,100000002578405100,distributor,0.758,"Распределитель (соответствие правилу 1.00): Веер: 116 получателей при 2 плательщиках; разослал 3.1 млн ₸, в среднем 26 тыс ₸ за перевод. Главные факторы: роль, оборот, положение в сети. Признаки: 2 циклов с возрастающими датами (не трассировка средств); 91% пригодного входа совместимо с лагом 1–2 дн.; получателей — топ-1% своего колена. Проверить: источник средств, начальный остаток и получателей веера.",0.997,19,False,2,"Веер: 116 получателей при 2 плательщиках; разослал 3.1 млн ₸, в среднем 26 тыс ₸ за перевод"
28,100000005910114100,distributor,0.7545,"Распределитель (соответствие правилу 0.75): Веер: 19 получателей при 3 плательщиках; разослал 1.5 млн ₸, в среднем 26 тыс ₸ за перевод. Главные факторы: роль, паттерны, оборот. Признаки: достижим из 4 seed (≤4 рёбер); модель смешивания ≈3 тыс ₸; 7 циклов с возрастающими датами (не трассировка средств); 82% пригодного входа совместимо с лагом 1–2 дн.; получателей — топ-1% своего колена; посредник: betweenness 0.0058. Проверить: источник средств, начальный остаток и получателей веера.",0.752,1,False,3,"Веер: 19 получателей при 3 плательщиках; разослал 1.5 млн ₸, в среднем 26 тыс ₸ за перевод"
29,100000002957787100,distributor,0.747,"Распределитель (соответствие правилу 0.84): Веер: 34 получателей при 4 плательщиках; разослал 1.3 млн ₸, в среднем 31 тыс ₸ за перевод. Главные факторы: роль, положение в сети, оборот. Признаки: достижим из 4 seed (≤4 рёбер); модель смешивания ≈999 ₸; 1 циклов с возрастающими датами (не трассировка средств); 100% пригодного входа совместимо с лагом 1–2 дн.; 5 повторяющихся маршрутов A→узел→B; посредник: betweenness 0.0043. Проверить: источник средств, начальный остаток и получателей веера.",0.836,1,False,2,"Веер: 34 получателей при 4 плательщиках; разослал 1.3 млн ₸, в среднем 31 тыс ₸ за перевод"
30,100000008304139100,distributor,0.7405,"Распределитель (соответствие правилу 0.78): Веер: 24 получателей при 4 плательщиках; разослал 1.7 млн ₸, в среднем 39 тыс ₸ за перевод. Главные факторы: роль, паттерны, оборот. Признаки: достижим из 2 seed (≤4 рёбер); модель смешивания ≈24 тыс ₸; 6 циклов с возрастающими датами (не трассировка средств); 90% пригодного входа совместимо с лагом 1–2 дн.; получателей — топ-1% своего колена; посредник: betweenness 0.0013. Проверить: источник средств, начальный остаток и получателей веера.",0.781,20,False,1,"Веер: 24 получателей при 4 плательщиках; разослал 1.7 млн ₸, в среднем 39 тыс ₸ за перевод"
31,100000001857829100,coordinator,0.7235,"Координатор (соответствие правилу 0.65): Хаб: 6 плательщиков → 16 получателей; вход 889 тыс ₸, выход 2.4 млн ₸; связан с 5 ключевыми узлами; циклов со строгим порядком дат: 2. Главные факторы: роль, оборот, положение в сети. Признаки: достижим из 3 seed (≤4 рёбер); модель смешивания ≈4 тыс ₸; 2 циклов с возрастающими датами (не трассировка средств); 3 плательщиков в один день (2026-07-10); посредник: betweenness 0.0020. Проверить: источник средств, начальный остаток и полную выписку, связи с другими хабами.",0.648,9,False,2,"Хаб: 6 плательщиков → 16 получателей; вход 889 тыс ₸, выход 2.4 млн ₸; связан с 5 ключевыми узлами; циклов со строгим порядком дат: 2"
32,100000004351795100,distributor,0.7178,"Распределитель (соответствие правилу 0.70): Веер: 14 получателей при 3 плательщиках; разослал 1.7 млн ₸, в среднем 46 тыс ₸ за перевод. Главные факторы: роль, оборот, паттерны. Признаки: достижим из 3 seed (≤4 рёбер); модель смешивания ≈67 тыс ₸; 16 циклов с возрастающими датами (не трассировка средств); 100% пригодного входа совместимо с лагом 1–2 дн.; посредник: betweenness 0.0024. Проверить: источник средств, начальный остаток и получателей веера.",0.701,14,False,1,"Веер: 14 получателей при 3 плательщиках; разослал 1.7 млн ₸, в среднем 46 тыс ₸ за перевод"
33,100000002838861100,consolidator,0.7157,"Консолидатор (соответствие правилу 0.76): Сбор от 5 плательщиков (seed: 2): 555 тыс ₸; дальше ушло 2% (1 получ.); достижим из 4 seed (≤4 рёбер). Главные факторы: роль, положение в сети, связь с фигурантами. Признаки: достижим из 4 seed (≤4 рёбер); модель смешивания ≈403 тыс ₸; 1 циклов с возрастающими датами (не трассировка средств). Проверить: полную выписку и возможные снятие наличных, межбанк, покупка активов.",0.755,6,False,1,Сбор от 5 плательщиков (seed: 2): 555 тыс ₸; дальше ушло 2% (1 получ.); достижим из 4 seed (≤4 рёбер)
34,100000005933757100,distributor,0.7129,"Распределитель (соответствие правилу 0.84): Веер: 34 получателей при 4 плательщиках; разослал 3 млн ₸, в среднем 65 тыс ₸ за перевод. Главные факторы: роль, оборот, положение в сети. Признаки: достижим из 2 seed (≤4 рёбер); модель смешивания ≈3 тыс ₸; 2 циклов с возрастающими датами (не трассировка средств); 83% пригодного входа совместимо с лагом 1–2 дн.; посредник: betweenness 0.0039. Проверить: источник средств, начальный остаток и получателей веера.",0.836,16,False,2,"Веер: 34 получателей при 4 плательщиках; разослал 3 млн ₸, в среднем 65 тыс ₸ за перевод"
35,100000003880331100,distributor,0.7114,"Распределитель (соответствие правилу 0.75): Веер: 16 получателей при 1 плательщиках; разослал 3.9 млн ₸, в среднем 126 тыс ₸ за перевод. Главные факторы: роль, оборот, паттерны. Признаки: 1 циклов с возрастающими датами (не трассировка средств); 100% пригодного входа совместимо с лагом 1–2 дн.; выход ₸ — топ-1% своего колена. Проверить: источник средств, начальный остаток и получателей веера.",0.749,9,False,3,"Веер: 16 получателей при 1 плательщиках; разослал 3.9 млн ₸, в среднем 126 тыс ₸ за перевод"
36,100000006274203100,terminal,0.7055,"Конечный получатель (соответствие правилу 0.90): Получил 3.4 млн ₸ от 2 плательщиков, дальше ушло лишь 2% (исходящие наблюдаемы); достижим из 4 seed (≤4 рёбер). Главные факторы: роль, оборот, положение в сети. Признаки: достижим из 4 seed (≤4 рёбер); модель смешивания ≈7 тыс ₸; 1 циклов с возрастающими датами (не трассировка средств); вход ₸ — топ-1% своего колена. Проверить: полную выписку: наблюдаемый выход не превышает 10% входа.",0.904,17,False,3,"Получил 3.4 млн ₸ от 2 плательщиков, дальше ушло лишь 2% (исходящие наблюдаемы); достижим из 4 seed (≤4 рёбер)"
37,100000004070318100,distributor,0.7026,"Распределитель (соответствие правилу 0.74): Веер: 19 получателей при 4 плательщиках; разослал 552 тыс ₸, в среднем 15 тыс ₸ за перевод. Главные факторы: роль, паттерны, положение в сети. Признаки: достижим из 2 seed (≤4 рёбер); модель смешивания ≈65 тыс ₸; 35 циклов с возрастающими датами (не трассировка средств); 95% пригодного входа совместимо с лагом 1–2 дн.; получателей — топ-1% своего колена; посредник: betweenness 0.0021. Проверить: источник средств, начальный остаток и получателей веера.",0.742,1,False,1,"Веер: 19 получателей при 4 плательщиках; разослал 552 тыс ₸, в среднем 15 тыс ₸ за перевод"
38,100000002718366100,consolidator,0.6985,"Консолидатор (соответствие правилу 0.72): Сбор от 6 плательщиков: 2.5 млн ₸; исходящих в выгрузке нет; достижим из 5 seed (≤4 рёбер). Главные факторы: роль, оборот, связь с фигурантами. Признаки: достижим из 5 seed (≤4 рёбер); модель смешивания ≈51 тыс ₸; 3 плательщиков в один день (2026-07-28); вход ₸ — топ-1% своего колена. Проверить: полную выписку и возможные снятие наличных, межбанк, покупка активов.",0.716,2,False,2,Сбор от 6 плательщиков: 2.5 млн ₸; исходящих в выгрузке нет; достижим из 5 seed (≤4 рёбер)
39,100000008710791100,distributor,0.6897,"Распределитель (соответствие правилу 0.78): Веер: 23 получателей при 3 плательщиках; разослал 5.5 млн ₸, в среднем 221 тыс ₸ за перевод. Главные факторы: оборот, роль, положение в сети. Признаки: достижим из 5 seed (≤4 рёбер); модель смешивания ≈7 тыс ₸; 93% пригодного входа совместимо с лагом 1–2 дн.. Проверить: источник средств, начальный остаток и получателей веера.",0.782,2,False,2,"Веер: 23 получателей при 3 плательщиках; разослал 5.5 млн ₸, в среднем 221 тыс ₸ за перевод"
40,100000002894076100,consolidator,0.6854,"Консолидатор (соответствие правилу 0.75): Сбор от 4 плательщиков (seed: 2): 1.1 млн ₸; исходящих в выгрузке нет; достижим из 7 seed (≤4 рёбер). Главные факторы: роль, связь с фигурантами, оборот. Признаки: достижим из 7 seed (≤4 рёбер); модель смешивания ≈822 тыс ₸; 3 плательщиков в один день (2026-07-14). Проверить: полную выписку и возможные снятие наличных, межбанк, покупка активов.",0.746,6,False,1,Сбор от 4 плательщиков (seed: 2): 1.1 млн ₸; исходящих в выгрузке нет; достижим из 7 seed (≤4 рёбер)
41,100000000343175100,coordinator,0.6829,"Координатор (соответствие правилу 0.76): Хаб: 8 плательщиков (seed: 1) → 31 получателей; вход 179 тыс ₸, выход 4 млн ₸; связан с 7 ключевыми узлами. Главные факторы: роль, оборот, положение в сети. Признаки: достижим из 4 seed (≤4 рёбер); модель смешивания ≈74 тыс ₸; 73% пригодного входа совместимо с лагом 1–2 дн.; посредник: betweenness 0.0011. Проверить: источник средств, начальный остаток и полную выписку, связи с другими хабами. Уже в деле (seed).",0.76,7,True,0,"Хаб: 8 плательщиков (seed: 1) → 31 получателей; вход 179 тыс ₸, выход 4 млн ₸; связан с 7 ключевыми узлами"
